course_id,course_name,processing_status,success,csv_file_path,markdown_file_path,error_message,failure_reason
89726c4f-03fe-4505-8281-90825f82febf,3565 Voice MPP 12.0.4,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_38_19Z_3565_Voice_MPP_12_0_4.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_38_19Z_3565_Voice_MPP_12_0_4.md,,
b84531a6-c8ae-48b9-9f6e-1127ea359ae9,3556 Vice-Versa One Step Firmware Migration,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_38_40Z_3556_Vice-Versa_One_Step_Firmw.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_38_40Z_3556_Vice-Versa_One_Step_Firmw.md,,
e3bd95cc-8e6e-4958-89a3-a0fd2e416635,3566 Voice MPP 12.0.4 SR1,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_39_00Z_3566_Voice_MPP_12_0_4_SR1.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_39_00Z_3566_Voice_MPP_12_0_4_SR1.md,,
2bdb6d0a-0e03-4069-9ac1-c97ccb52e226,3555 Voice CP-8875,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_39_20Z_3555_Voice_CP-8875.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_39_20Z_3555_Voice_CP-8875.md,,
806b31e0-38a5-4aad-9625-8750ff16f33d,2710 Smart License Introduction,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_39_41Z_2710_Smart_License_Introductio.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_39_41Z_2710_Smart_License_Introductio.md,,
979f8a23-73e2-427b-96fb-ce2fd6635f95,2512 Voice Provisioning Phone in WebEX Calling,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_40_01Z_2512_Voice_Provisioning_Phone_.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_40_01Z_2512_Voice_Provisioning_Phone_.md,,
28de21d2-e4ad-47be-bbc3-fa8e90461d78,3567 Voice 9841/51 Desk Phone Introduction,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_40_22Z_3567_Voice_9841_51_Desk_Phone_.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_40_22Z_3567_Voice_9841_51_Desk_Phone_.md,,
1c71e5fa-a15f-46cd-bafa-1e23b27f47d9,3568 Voice 9861/71/KEM Desk Phone Introduction,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_40_42Z_3568_Voice_9861_71_KEM_Desk_Ph.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_40_42Z_3568_Voice_9861_71_KEM_Desk_Ph.md,,
ce870141-9d83-4dc9-bb81-0b1e2fe73dd1,0112 New Hire Technical Onboarding - Wireless,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_41_03Z_0112_New_Hire_Technical_Onboar.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_41_03Z_0112_New_Hire_Technical_Onboar.md,,
0ac4fd1a-f09e-4ae8-89dd-78922c87d56c,0111 New Hire Technical Onboarding - Routing,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_41_23Z_0111_New_Hire_Technical_Onboar.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_41_23Z_0111_New_Hire_Technical_Onboar.md,,
